Id,Model,Price,Age_08_04,Mfg_Year,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,2002,11090,110,1600,3,5,85,1120
31, TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,2002,9750,97,1400,3,5,19,1100
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,2002,35199,97,1400,3,5,85,1100
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,2002,29510,97,1400,3,5,85,1100
34, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,2002,32692,97,1400,3,5,85,1100
35, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,2002,41000,97,1400,3,5,85,1100
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,2002,43000,97,1400,3,5,85,1100
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,2002,25000,97,1400,3,5,85,1100
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,2002,10000,97,1400,3,5,85,1100
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,2002,25329,97,1400,3,5,85,1100
40, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,2002,27500,97,1400,3,5,85,1100
41, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,2002,49059,97,1400,3,5,85,1100
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,2002,44068,97,1400,3,5,85,1100
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,2002,46961,97,1400,3,5,85,1100
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,2002,110404,90,2000,5,5,234,1255
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,2002,100250,90,2000,5,5,234,1255
46, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,2002,84000,90,2000,5,5,234,1270
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,2002,79375,90,2000,5,5,234,1255
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,2002,75048,97,1400,5,5,85,1110
49, TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,2002,72215,90,2000,5,5,234,1255
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,2002,64982,192,1800,5,6,100,1195
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,2002,62636,90,2000,5,5,234,1255
52, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,2002,57086,97,1400,5,5,85,1110
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,2002,56000,110,1600,5,5,100,1180
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,2002,49866,192,1800,5,5,100,1195
55, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,2002,49163,110,1600,5,5,100,1165
56, TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,2002,45725,110,1600,5,5,85,1075
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,2002,43210,97,1400,5,5,85,1110
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,2002,43000,97,1400,5,5,85,1110
59, TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,2002,39704,110,1600,5,5,100,1180
60, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,2002,38950,110,1600,5,5,85,1130
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,2002,37400,97,1400,5,5,85,1110
62, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,2002,37177,110,1600,5,5,85,1130
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2002,36544,110,1600,5,5,85,1130
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,2002,33511,110,1600,5,5,85,1130
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,2002,32809,97,1400,5,5,85,1110
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,2002,32181,110,1600,5,5,19,1075
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,2002,30993,110,1600,5,5,85,1130
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,2002,30400,97,1400,5,5,85,1110
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,2002,30000,110,2000,5,5,234,1275
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,2002,29719,97,1400,5,5,85,1110
71, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,2002,29206,97,1400,5,5,85,1110
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,2002,29198,97,1400,5,5,85,1060
73, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,2002,28817,110,1598,5,5,85,1130
74, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,2002,28227,97,1400,5,5,85,1110
75, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,2002,28000,110,1600,5,5,85,1130
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,2002,28000,110,1600,5,5,85,1115
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2002,25266,110,1600,5,5,85,1130
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,2002,23489,110,1600,5,5,85,1115
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,2002,22575,110,1600,5,5,85,1115
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,2002,22000,97,1400,5,5,85,1110
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,2002,20019,110,16000,5,5,100,1180
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,2002,20000,110,1600,5,5,85,1115
83, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,2002,17003,97,1400,5,5,85,1110
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,2002,16238,110,1600,5,5,100,1180
85, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,2002,15414,97,1400,5,5,85,1110
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,2002,8537,110,1600,5,5,85,1130
87, TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,2002,7000,97,1400,5,5,85,1100
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,2003,66966,90,2000,3,5,210,1245
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2003,51884,97,1400,3,5,85,1100
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,2003,50005,110,2000,3,5,234,1265
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,2003,48110,97,1400,3,5,85,1100
92, TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,2003,37500,90,2000,3,5,234,1260
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,2003,34472,90,1995,3,5,234,1260
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,2003,33329,97,1400,3,5,85,1100
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,2003,31850,110,1600,3,5,85,1120
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,2003,30351,90,1995,3,5,234,1260
97, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2003,29435,97,1400,3,5,85,1100
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2003,25948,97,1400,3,5,85,1100
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,2003,24500,110,1600,3,5,85,1120
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,2003,23902,97,1400,3,5,85,1100
101, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,2003,23175,110,1600,3,5,85,1120
102, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,2003,19200,97,1400,3,5,85,1100
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,2003,18000,71,1400,3,5,85,1125
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,2003,16123,110,1600,3,5,85,1105
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,2003,14635,110,1600,3,5,100,1155
106, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,2003,13748,97,1400,3,5,85,1100
107, TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,2003,11500,110,1600,3,5,69,1045
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,2003,10000,97,1400,3,5,85,1100
109, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,2003,7187,110,1600,3,5,85,1105
111, TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,2004,1,116,2000,5,5,283,1480
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,2004,4000,116,2000,5,5,283,1480
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,2004,1500,116,2000,5,5,283,1480
114, TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,2004,13253,116,2000,5,5,234,1320
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,2004,13253,116,2000,5,5,234,1320
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,2004,10000,116,2000,5,5,234,1270
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,2004,6000,90,2000,5,5,234,1280
118, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,2004,10841,90,2000,5,5,234,1270
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,2004,1,110,1600,3,5,85,1105
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,2003,63000,90,2000,5,5,234,1255
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,2003,57313,110,2000,5,5,234,1275
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,2003,57037,110,1600,5,5,85,1115
123, TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,2003,51099,90,2000,5,5,234,1255
124, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,2003,40010,110,1600,5,5,85,1115
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,2003,39115,110,1600,5,5,85,1130
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,2003,36012,110,1600,5,5,85,1130
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,2003,36000,110,1600,5,5,85,1130
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,2003,36000,110,1600,5,5,19,1075
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,2003,35000,97,1400,5,5,85,1110
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,2003,33740,97,1400,5,5,85,1135
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,2003,33477,110,1600,5,5,19,1075
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,2003,32627,97,1400,5,5,85,1110
133, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,2003,29797,97,1400,5,5,85,1110
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,2003,29441,97,1400,5,5,85,1110
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,2003,29371,110,1600,4,5,19,1105
136, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,2003,29000,97,1400,5,5,85,1110
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,2003,27821,97,1400,5,5,85,1110
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,2003,27371,97,1400,5,5,85,1135
139, TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,2003,25170,110,1600,5,5,19,1105
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,2003,25000,116,2000,5,5,64,1320
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,2003,23000,110,1600,5,5,85,1130
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,2003,22588,97,1400,5,5,85,1110
143, TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,2003,21684,192,1800,5,5,19,1185
144, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,2003,21428,110,1600,5,5,85,1130
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,2003,20629,110,1600,4,5,85,1090
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,2003,20270,110,1600,5,5,85,1130
147, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,2003,20105,97,1400,5,5,85,1110
148, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,2003,20000,110,1600,5,5,100,1165
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,2003,19988,110,1600,5,5,85,1130
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,2003,18328,110,1600,5,5,85,1130
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,2003,17896,110,1600,4,5,85,1150
152, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,2003,17300,97,1400,5,5,85,1110
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,2003,17038,110,1600,5,5,85,1130
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,2003,13747,97,1400,5,5,85,1110
155, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,2003,13634,110,1600,5,5,85,1115
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,2003,13178,110,1600,5,5,85,1130
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,2003,13157,97,1400,4,5,85,1085
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,2003,13000,110,1600,4,5,85,1105
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,2003,12500,110,1600,5,5,85,1115
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,2003,11999,110,1600,5,5,85,1130
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,2003,11754,110,1600,5,5,100,1180
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,2003,11000,110,1600,4,5,85,1105
163, TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,2003,10000,110,1598,5,5,85,1105
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,2003,7650,110,1600,5,5,85,1115
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,2003,6500,110,1600,4,5,85,1100
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,2003,6155,97,1400,5,5,85,1110
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,2003,6000,110,1600,5,5,85,1130
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,2003,5459,110,1600,5,5,85,1130
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,2003,5278,110,1600,4,5,85,1150
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,2003,5000,110,1600,5,5,85,1130
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,2003,1,98,1400,4,5,19,1065
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,2003,1,110,1600,5,5,19,1075
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,2004,11000,110,1600,5,5,85,1130
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,2004,10077,97,1400,5,5,85,1110
175, TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,2004,10000,97,1400,5,5,85,1110
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,2004,9788,110,1600,5,5,85,1130
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,2004,8574,110,1600,5,5,85,1130
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,2004,7000,110,1600,5,5,85,1115
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,2004,6250,110,1600,5,5,85,1115
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,2004,5000,110,1600,5,5,85,1130
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,2004,3000,110,1600,5,5,85,1130
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2004,2000,110,1600,5,5,19,1075
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,2004,450,97,1400,5,5,85,1110
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,2004,225,97,1400,5,5,85,1110
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,2004,15,110,1600,5,5,85,1130
186, TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,2004,1,98,1400,4,5,19,1100
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,2004,1,110,1600,5,5,19,1075
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,43,2001,243000,69,1900,3,5,185,1110
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,2001,180638,90,2000,4,5,210,1160
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,2001,179860,90,2000,5,5,210,1205
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,2001,178858,110,1600,3,5,197,1084
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,2001,161000,69,1900,3,5,185,1105
193,TOYOTA Corolla 1.8D Stationwagen,4350,44,2001,158320,69,1800,5,5,64,1110
194,TOYOTA Corolla 1.8D 4/5-Doors,4750,44,2001,131273,69,1800,5,5,64,1110
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,40,2001,130062,69,1900,5,5,185,1140
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,2001,123425,69,1900,5,5,185,1140
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,2001,118217,110,1600,5,5,85,1075
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,44,2001,110000,69,1900,5,5,185,1095
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,2001,108847,90,2000,5,5,210,1205
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,2001,105699,97,1400,3,5,69,1025
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,39,2001,98823,110,1600,5,5,197,1119
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,2001,96829,110,1600,5,5,85,1075
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,2001,96518,97,1400,3,5,69,1025
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,2001,92204,110,1600,5,5,85,1075
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10450,35,2001,91456,69,1900,3,5,185,1110
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,12950,43,2001,89968,69,1900,5,5,185,1140
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,2001,89757,110,1600,3,5,69,1045
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,2001,85389,110,1600,5,5,85,1075
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,2001,85017,97,1400,5,5,85,1060
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,2001,84312,110,1600,5,5,85,1080
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,37,2001,82743,110,1600,5,5,197,1121
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,2001,81106,69,1900,5,5,185,1140
